TILE,WKT
SU1819,"POLYGON((418000 119000, 419000 119000, 419000 120000, 418000 120000, 418000 119000))"
SU1910,"POLYGON((419000 110000, 420000 110000, 420000 111000, 419000 111000, 419000 110000))"
SU1911,"POLYGON((419000 111000, 420000 111000, 420000 112000, 419000 112000, 419000 111000))"
SU1912,"POLYGON((419000 112000, 420000 112000, 420000 113000, 419000 113000, 419000 112000))"
SU1913,"POLYGON((419000 113000, 420000 113000, 420000 114000, 419000 114000, 419000 113000))"
SU1914,"POLYGON((419000 114000, 420000 114000, 420000 115000, 419000 115000, 419000 114000))"
SU1915,"POLYGON((419000 115000, 420000 115000, 420000 116000, 419000 116000, 419000 115000))"
SU1916,"POLYGON((419000 116000, 420000 116000, 420000 117000, 419000 117000, 419000 116000))"
SU1917,"POLYGON((419000 117000, 420000 117000, 420000 118000, 419000 118000, 419000 117000))"
SU1918,"POLYGON((419000 118000, 420000 118000, 420000 119000, 419000 119000, 419000 118000))"
SU1919,"POLYGON((419000 119000, 420000 119000, 420000 120000, 419000 120000, 419000 119000))"
SU1020,"POLYGON((410000 120000, 411000 120000, 411000 121000, 410000 121000, 410000 120000))"
SU1021,"POLYGON((410000 121000, 411000 121000, 411000 122000, 410000 122000, 410000 121000))"
SU1022,"POLYGON((410000 122000, 411000 122000, 411000 123000, 410000 123000, 410000 122000))"
SU1023,"POLYGON((410000 123000, 411000 123000, 411000 124000, 410000 124000, 410000 123000))"
SU1024,"POLYGON((410000 124000, 411000 124000, 411000 125000, 410000 125000, 410000 124000))"
SU1025,"POLYGON((410000 125000, 411000 125000, 411000 126000, 410000 126000, 410000 125000))"
SU1026,"POLYGON((410000 126000, 411000 126000, 411000 127000, 410000 127000, 410000 126000))"
SU1027,"POLYGON((410000 127000, 411000 127000, 411000 128000, 410000 128000, 410000 127000))"
SU1028,"POLYGON((410000 128000, 411000 128000, 411000 129000, 410000 129000, 410000 128000))"
SU1029,"POLYGON((410000 129000, 411000 129000, 411000 130000, 410000 130000, 410000 129000))"
SU1120,"POLYGON((411000 120000, 412000 120000, 412000 121000, 411000 121000, 411000 120000))"
SU1121,"POLYGON((411000 121000, 412000 121000, 412000 122000, 411000 122000, 411000 121000))"
SU1122,"POLYGON((411000 122000, 412000 122000, 412000 123000, 411000 123000, 411000 122000))"
SU1123,"POLYGON((411000 123000, 412000 123000, 412000 124000, 411000 124000, 411000 123000))"
SU1124,"POLYGON((411000 124000, 412000 124000, 412000 125000, 411000 125000, 411000 124000))"
SU1125,"POLYGON((411000 125000, 412000 125000, 412000 126000, 411000 126000, 411000 125000))"
SU1126,"POLYGON((411000 126000, 412000 126000, 412000 127000, 411000 127000, 411000 126000))"
SU1127,"POLYGON((411000 127000, 412000 127000, 412000 128000, 411000 128000, 411000 127000))"
SU1128,"POLYGON((411000 128000, 412000 128000, 412000 129000, 411000 129000, 411000 128000))"
SU1129,"POLYGON((411000 129000, 412000 129000, 412000 130000, 411000 130000, 411000 129000))"
SU1220,"POLYGON((412000 120000, 413000 120000, 413000 121000, 412000 121000, 412000 120000))"
SU1221,"POLYGON((412000 121000, 413000 121000, 413000 122000, 412000 122000, 412000 121000))"
SU1222,"POLYGON((412000 122000, 413000 122000, 413000 123000, 412000 123000, 412000 122000))"
SU1223,"POLYGON((412000 123000, 413000 123000, 413000 124000, 412000 124000, 412000 123000))"
SU1225,"POLYGON((412000 125000, 413000 125000, 413000 126000, 412000 126000, 412000 125000))"
SU1226,"POLYGON((412000 126000, 413000 126000, 413000 127000, 412000 127000, 412000 126000))"
SU1227,"POLYGON((412000 127000, 413000 127000, 413000 128000, 412000 128000, 412000 127000))"
SU1228,"POLYGON((412000 128000, 413000 128000, 413000 129000, 412000 129000, 412000 128000))"
SU1229,"POLYGON((412000 129000, 413000 129000, 413000 130000, 412000 130000, 412000 129000))"
SU1320,"POLYGON((413000 120000, 414000 120000, 414000 121000, 413000 121000, 413000 120000))"
